
> backend@1.0.0 dev
> ts-node --transpile-only src/index.ts

[dotenv@17.3.1] injecting env (0) from .env -- tip: ⚙️  suppress all logs with { quiet: true }
🚀 API Superior V2 corriendo en http://localhost:3001
🤖 Bot de Telegram activo.
✅ Conexión a Base de Datos de Producción estable.
[2026-03-05T01:04:26.438Z] OPTIONS /api/tracking/observations/count?periodo=2026
[2026-03-05T01:04:26.441Z] GET /api/tracking/observations/count?periodo=2026
[2026-03-05T01:04:26.448Z] OPTIONS /api/tracking/observations/count?periodo=2026
[2026-03-05T01:04:26.449Z] OPTIONS /api/entities?periodo=2026
[2026-03-05T01:04:26.450Z] GET /api/tracking/observations/count?periodo=2026
[2026-03-05T01:04:26.454Z] GET /api/entities?periodo=2026
[2026-03-05T01:04:26.457Z] OPTIONS /api/entities?periodo=2026
[2026-03-05T01:04:26.458Z] GET /api/entities?periodo=2026
[2026-03-05T01:04:28.331Z] OPTIONS /api/narratives/my-captures?periodo=2026
[2026-03-05T01:04:28.332Z] GET /api/narratives/my-captures?periodo=2026
[2026-03-05T01:04:28.350Z] GET /api/narratives/my-captures?periodo=2026
[2026-03-05T01:07:46.480Z] GET /api/export/word/narrative/1977?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjE1NiIsImVtYWlsIjoic2FsdWRkZW1vQHNlcGxhbi5nb2IubXgiLCJyb2xlcyI6WyJDYXB0dXJpc3RhIl0sImRlcGVuZGVuY3kiOiJTQUxVRCIsImRlcGVuZGVuY3lfaWQiOiIxNSIsImlhdCI6MTc3MjY3MTE3NSwiZXhwIjoxNzcyNjk5OTc1fQ.S4UhcorEXNvxGFh7y7WmQpyYLS5MLEKNTDTE-rgUvgA
[2026-03-05T01:07:49.279Z] GET /api/export/word/narrative/1976?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjE1NiIsImVtYWlsIjoic2FsdWRkZW1vQHNlcGxhbi5nb2IubXgiLCJyb2xlcyI6WyJDYXB0dXJpc3RhIl0sImRlcGVuZGVuY3kiOiJTQUxVRCIsImRlcGVuZGVuY3lfaWQiOiIxNSIsImlhdCI6MTc3MjY3MTE3NSwiZXhwIjoxNzcyNjk5OTc1fQ.S4UhcorEXNvxGFh7y7WmQpyYLS5MLEKNTDTE-rgUvgA
[2026-03-05T01:07:52.223Z] OPTIONS /api/catalogs/narrative-titles?periodo=2026
[2026-03-05T01:07:52.224Z] OPTIONS /api/catalogs/financing-sources?periodo=2026
[2026-03-05T01:07:52.225Z] GET /api/catalogs/narrative-titles?periodo=2026
[2026-03-05T01:07:52.226Z] OPTIONS /api/catalogs/ped/missions?periodo=2026
[2026-03-05T01:07:52.226Z] GET /api/catalogs/financing-sources?periodo=2026
[2026-03-05T01:07:52.227Z] OPTIONS /api/catalogs/ped/objectives
[2026-03-05T01:07:52.228Z] OPTIONS /api/catalogs/ped/action-lines
[2026-03-05T01:07:52.228Z] OPTIONS /api/tracking/narrativa/1976?periodo=2026
[2026-03-05T01:07:52.228Z] GET /api/catalogs/ped/missions?periodo=2026
[2026-03-05T01:07:52.229Z] GET /api/catalogs/financing-sources?periodo=2026
[2026-03-05T01:07:52.230Z] GET /api/catalogs/ped/objectives
[2026-03-05T01:07:52.230Z] OPTIONS /api/catalogs/ped/strategies
